Ref,Val,Package,PosX,PosY,Rot,Side
"C7","0.1uF","C_0805_2012Metric",134.300000,-80.200000,180.000000,top
"D1","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",127.000000,-81.000000,180.000000,top
"D2","LED ROJO","LED_0805_2012Metric",136.800000,-85.200000,180.000000,top
"J1","Conn_01x04_Pin","USB A CARD",131.880000,-84.500000,0.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",140.600000,-79.800000,180.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",123.000000,-79.800000,180.000000,top
"R2","330R","R_0805_2012Metric",132.800000,-85.200000,0.000000,top
"SW1","SW_Push","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",129.300000,-73.700000,-90.000000,top
"SW2","SW_Push","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",134.300000,-73.700000,-90.000000,top
"U2","ESP32-C3-WROOM-02","ESP32-C3-WROOM-02",131.800000,-61.200000,0.000000,top
